"user_id","noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","numberOfShows_M2","total_Time_M2","watched_in_M2"
"cc8869",6,194.148283333333,1,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0,16.6666666666667,0,0,50,0,0,33.3333333333333,0,0,0,0,33.3333333333333,8,137.690816666667,"1"
"cc8dde",2,1.45093333333333,1,0,0.5,0.5,0,0,0,0,0,0,50,0,0,50,0,0,0,0,50,0,0,"0"
"cc98cb",4,4.0888,0.75,0.25,0,1,0,0,0,0,75,0,25,0,0,0,0,0,0,0,75,0,0,"0"
"cc9f56",25,581.681616666667,0.64,0.36,0.12,0.12,0.72,0.04,0,44,24,4,16,0,0,12,0,0,0,0,48,30,431.088,"1"
"cca371",3,36.465,0,1,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,2.15,"1"
"cca4d9",1,8.00028333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"cca6ee",14,148.056433333333,1,0,0.0714285714285714,0.5,0.285714285714286,0.142857142857143,0,0,0,0,100,0,0,0,0,0,0,0,7.14285714285714,0,0,"0"
"ccac61",2,4.30755,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"ccac6c",1,1.65,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4,40.058,"1"
"ccaca1",19,486.0216,0.526315789473684,0.473684210526316,0.105263157894737,0.157894736842105,0.473684210526316,0.263157894736842,15.7894736842105,15.7894736842105,42.1052631578947,5.26315789473684,5.26315789473684,0,0,5.26315789473684,0,0,5.26315789473684,5.26315789473684,47.3684210526316,13,163.422866666667,"1"
"ccc3df",9,62.0786333333333,0.555555555555556,0.444444444444444,0.111111111111111,0.333333333333333,0.444444444444444,0.111111111111111,0,77.7777777777778,0,22.2222222222222,0,0,0,0,0,0,0,0,0,8,59.76895,"1"
"ccc906",1,3.54738333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,"0"
"ccdcc1",2,1.59536666666667,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,"0"
"cce426",45,510.508633333333,0.622222222222222,0.377777777777778,0.155555555555556,0.0888888888888889,0.755555555555556,0,0,2.22222222222222,6.66666666666667,8.88888888888889,28.8888888888889,0,0,28.8888888888889,0,0,15.5555555555556,8.88888888888889,22.2222222222222,1,0.521716666666667,"1"
"ccfdb5",3,24.5504,1,0,0,0,1,0,0,0,0,0,0,0,33.3333333333333,0,0,0,66.6666666666667,0,0,0,0,"0"
"cd0ffa",4,103.196833333333,1,0,0,0,1,0,0,0,0,0,50,0,0,50,0,0,0,0,100,0,0,"0"
"cd1544",1,0.333766666666667,0,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0"
"cd18bd",1,1.00083333333333,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,11,29.00295,"1"
"cd2006",2,3.21666666666667,1,0,0,0,1,0,0,50,0,50,0,0,0,0,0,0,0,0,100,3,2.61638333333333,"1"
"cd226a",49,1512.15571666667,0.591836734693878,0.408163265306122,0.448979591836735,0.183673469387755,0.36734693877551,0,0,0,42.8571428571429,2.04081632653061,55.1020408163265,0,0,0,0,0,0,0,61.2244897959184,25,803.010216666667,"1"
"cd2771",3,116.257483333333,0.666666666666667,0.333333333333333,0,0,1,0,0,0,66.6666666666667,0,0,0,0,0,0,0,33.3333333333333,0,66.6666666666667,0,0,"0"
"cd2c0c",2,1.54113333333333,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,100,0,0,0,0,0,1,7.41901666666667,"1"
"cd34cc",1,12.0898333333333,1,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0.515566666666667,"1"
"cd3a6f",1,0.129733333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"cd46a0",22,375.989233333333,0.5,0.5,0.136363636363636,0,0.681818181818182,0.181818181818182,4.54545454545455,18.1818181818182,0,4.54545454545455,68.1818181818182,0,4.54545454545455,0,0,0,0,0,45.4545454545455,12,210.027266666667,"1"
"cd606e",26,367.02225,0.615384615384615,0.384615384615385,0.0769230769230769,0.269230769230769,0.538461538461538,0.115384615384615,0,26.9230769230769,19.2307692307692,23.0769230769231,23.0769230769231,0,0,0,0,0,7.69230769230769,0,7.69230769230769,17,143.04545,"1"
"cd6846",1,3.75183333333333,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cd6ec9",1,1.31983333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,"0"
"cd7640",3,29.7502333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,2,5.52096666666667,"1"
"cd9c1a",3,9.2029,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cd9fa9",3,40.2283666666667,0,1,0,0,0.666666666666667,0.333333333333333,33.3333333333333,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,7,291.567166666667,"1"
"cda74e",1,2.2337,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,2,2.40055,"1"
"cdb36b",6,359.732266666667,0.833333333333333,0.166666666666667,0,0,0.666666666666667,0.333333333333333,0,0,33.3333333333333,16.6666666666667,0,0,16.6666666666667,0,0,0,16.6666666666667,16.6666666666667,83.3333333333333,17,521.32925,"1"
"cdb4cd",13,231.325616666667,0.769230769230769,0.230769230769231,0.0769230769230769,0,0.923076923076923,0,0,15.3846153846154,15.3846153846154,23.0769230769231,15.3846153846154,0,0,23.0769230769231,0,0,0,7.69230769230769,46.1538461538462,0,0,"0"
"cdc10d",7,289.887033333333,0.857142857142857,0.142857142857143,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143,0,14.2857142857143,28.5714285714286,0,57.1428571428571,0,0,0,0,0,0,0,71.4285714285714,18,160.10535,"1"
"cdcb7a",1,0.334616666666667,0,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cdccf6",6,4.51791666666667,0.666666666666667,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2,2.84216666666667,"1"
"cdd651",1,1.52623333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"cde59e",3,39.0043333333333,1,0,0.666666666666667,0,0.333333333333333,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cdeed6",10,180.20735,0.2,0.8,0.2,0.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,30,0,0,"0"
"cdf54e",3,109.419116666667,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66.6666666666667,2,20.6359833333333,"1"
