"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
1,0.49435,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
7,131.953716666667,0.857142857142857,0.142857142857143,0.142857142857143,0,0.857142857142857,0,0,0,100,0,0,0,0,0,0,0,0,0,14.2857142857143,"Yes"
57,1489.90998333333,0.807017543859649,0.192982456140351,0.210526315789474,0.280701754385965,0.508771929824561,0,0,0,24.5614035087719,21.0526315789474,50.8771929824561,0,0,0,0,1.75438596491228,1.75438596491228,0,42.1052631578947,"Yes"
25,392.379266666667,0.16,0.84,0.04,0.08,0.36,0.52,0,0,8,0,28,0,0,60,0,0,4,0,56,"Yes"
2,25.2199666666667,1,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,50,"No"
5,29.6845833333333,1,0,0.4,0,0.4,0.2,0,20,40,20,20,0,0,0,0,0,0,0,40,"Yes"
1,1.14566666666667,0,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"Yes"
2,170,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,"Yes"
1,16.44255,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
2,9.21818333333333,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
69,687.884166666667,0.768115942028985,0.231884057971014,0.0434782608695652,0.101449275362319,0.768115942028985,0.0869565217391304,0,4.34782608695652,4.34782608695652,0,14.4927536231884,0,1.44927536231884,75.3623188405797,0,0,0,0,17.3913043478261,"Yes"
1,0.6674,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"Yes"
18,109.960066666667,0.833333333333333,0.166666666666667,0.0555555555555556,0.222222222222222,0.722222222222222,0,0,0,16.6666666666667,0,72.2222222222222,0,0,11.1111111111111,0,0,0,0,11.1111111111111,"Yes"
2,8.6007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,"No"
3,65.3347333333333,1,0,0.666666666666667,0.333333333333333,0,0,0,100,0,0,0,0,0,0,0,0,0,0,66.6666666666667,"Yes"
9,138.405633333333,0.555555555555556,0.444444444444444,0,0.222222222222222,0.777777777777778,0,22.2222222222222,0,0,0,0,0,0,44.4444444444444,0,0,33.3333333333333,0,11.1111111111111,"Yes"
7,317.0519,0.571428571428571,0.428571428571429,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,57.1428571428571,"Yes"
2,9.58091666666667,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"No"
1,24.3546666666667,0,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,100,"Yes"
2,18.7707333333333,0.5,0.5,0.5,0,0.5,0,0,0,0,0,50,0,0,50,0,0,0,0,50,"Yes"
